127.0.0.1 - - [29/Dec/2018:14:18:23 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/Hello.jsp HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/settled.css HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/Hello.css HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:25 +0800] "GET /reservation/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:36 +0800] "GET /reservation/Hello.jsp HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:36 +0800] "GET /reservation/Hello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:36 +0800] "GET /reservation/settled.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:36 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:37 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:37 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:41 +0800] "GET /reservation/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:41 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:41 +0800] "GET /reservation/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:42 +0800] "GET /reservation/login.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:43 +0800] "GET /reservation/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:44 +0800] "POST /reservation/UserLogin HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:45 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:45 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:45 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "GET /reservation/myorder.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "GET /reservation/myorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:18:52 +0800] "POST /reservation/OrderUserGetAll HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "GET /reservation/reservation.jsp?rnvid=1 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "GET /reservation/reservation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:18 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:21 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2018&month=12&day=31 HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:21 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:21 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:21 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:21 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2019&month=1&day=1 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2019&month=1&day=2 HTTP/1.1" 200 6743
